Participant	Session	Sex	ScanAge	Handness_ChineseEHI
235	1	Male	6.7	MR
236	1	Female	9.4	RR
237	1	Male	6.1	MR
238	1	Male	14	LL
239	1	Female	12.6	MR
240	1	Female	6.1	MR
241	1	Male	11.2	NA
242	1	Female	7.5	NA
243	1	Female	10.1	MR
244	1	Male	10.7	R
244	2	Male	12.2	NA
245	1	Male	11.1	RR
246	1	Male	8.4	MR
246	2	Male	9.8	NA
247	1	Female	12.5	MR
248	1	Male	11.6	NA
249	1	Male	NA	NA
250	1	Male	12.9	MR
251	1	Male	7.6	NA
252	1	Male	6.2	MR
253	1	Male	6.2	M
254	1	Female	10.6	R
255	1	Female	6.3	MR
255	2	Female	7.8	NA
256	1	Female	12.2	RR
257	1	Female	10.5	MR
258	1	Male	6.5	MR
259	1	Male	7.5	R
260	1	Male	10.9	MR
261	1	Male	11.2	R
262	1	Female	8.1	MR
263	1	Female	10.3	NA
264	1	Male	12.4	MR
265	1	Male	11.5	NA
266	1	Male	9.9	R
267	1	Male	10.4	RR
268	1	Female	9.4	MR
269	1	Male	7.7	NA
270	1	Male	11.4	MR
271	1	Male	7.9	MR
272	1	Male	10.1	MR
273	1	Female	9.8	RR
274	1	Male	7.8	R
275	1	Male	9.1	NA
276	1	Female	9.8	NA
277	1	Male	9.1	MR
278	1	Male	9	NA
279	1	Female	9.7	NA
280	1	Female	12.1	NA
281	1	Female	10	NA
