Participant	Session	Sex	ScanAge	Handness_ChineseEHI
0256	01	Female	12.2	RR
0257	01	Female	10.5	MR
0258	01	Male	6.5	MR
0259	01	Male	7.5	R
0260	01	Male	10.9	MR
0261	01	Male	11.2	R
0262	01	Female	8.1	MR
0263	01	Female	10.3	NA
0264	01	Male	12.4	MR
0265	01	Male	11.5	NA
0266	01	Male	9.9	R
0267	01	Male	10.4	RR
0268	01	Female	9.4	MR
0269	01	Male	7.7	NA
0270	01	Male	11.4	MR
0271	01	Male	7.9	MR
0272	01	Male	10.1	MR
0273	01	Female	9.8	RR
0274	01	Male	7.8	R
0275	01	Male	9.1	NA
0276	01	Female	9.8	NA
0277	01	Male	9.1	MR
0278	01	Male	9	NA
0279	01	Female	9.7	NA
0280	01	Female	12.1	NA
0281	01	Female	10	NA
P001	01	NA	NA	R
P002	01	NA	NA	MR
P003	01	NA	NA	RR
P004	01	NA	NA	MR
P005	01	NA	NA	MR
P006	01	NA	NA	MR
P007	01	NA	NA	MR
P008	01	NA	NA	NA
P009	01	NA	NA	NA
P010	01	NA	NA	RR
P011	01	NA	NA	MR
